,activity_id,allegiance,assists,avg_kill_distance,avg_life,deaths,kd_ratio,kills_grenade,kills_heavy,kills_melee,kills_prec_heavy,kills_prec_primary,kills_prec_shotgun,kills_prec_sniper,kills_prec_special,kills_precision,kills_primary,kills_shotgun,kills_sniper,kills_special,kills_super,kills_total,longest_kill_spree,longest_life,medals_ace,medals_annihilation,medals_back_in_action,medals_close_call,medals_first_blood,medals_from_the_brink,medals_never_say_die,medals_wrecking_ball,orbs_dropped,orbs_gathered,rez_count,rezzed_count,score,team_name
0,5269995652,us,5.0,19.27777777777778,150.0,12.0,1.5,1.0,0.0,0.0,0,2.0,0,3.0,3.0,5.0,6.0,0.0,5.0,5.0,5.0,18.0,4.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,4.0,4.0,900.0,Alpha
1,5269995652,them,0.0,15.583333333333334,100.0,18.0,0.6666666666666666,0.0,0.0,1.0,0,1.0,0,2.0,2.0,3.0,7.0,0.0,2.0,2.0,2.0,12.0,2.0,103.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,-525.0,Bravo
2,5269951280,us,7.0,18.16,112.76470588235294,17.0,1.4705882352941178,4.0,2.0,2.0,0,2.0,0,5.0,5.0,7.0,7.0,0.0,6.0,6.0,4.0,25.0,5.0,106.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,0.0,9.0,9.0,1347.5,Alpha
3,5269951280,them,3.0,7.75,76.68,25.0,0.64,0.0,0.0,0.0,0,3.0,0,2.0,2.0,5.0,6.0,6.0,2.0,8.0,1.0,16.0,3.0,91.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,9.0,-472.5,Bravo
4,5269915827,us,6.0,27.6,97.75,12.0,1.6666666666666667,2.0,1.0,0.0,0,0.0,0,8.0,8.0,9.0,4.0,0.0,8.0,8.0,4.0,20.0,5.0,47.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0,3.0,3.0,1092.5,Alpha
5,5269915827,them,4.0,22.5,58.65,20.0,0.6,0.0,0.0,1.0,0,3.0,0,1.0,1.0,5.0,7.0,2.0,1.0,3.0,0.0,12.0,3.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,5.0,-492.5,Bravo
6,5269892366,us,2.0,13.608695652173912,117.15789473684211,19.0,1.2105263157894737,1.0,0.0,1.0,0,5.0,0,3.0,3.0,8.0,11.0,0.0,5.0,5.0,5.0,23.0,4.0,118.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,4.0,4.0,610.0,Alpha
7,5269892366,them,4.0,11.157894736842104,92.75,24.0,0.7916666666666666,1.0,0.0,3.0,0,1.0,0,0.0,0.0,1.0,5.0,6.0,0.0,6.0,2.0,19.0,4.0,81.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,-230.0,Bravo
8,5269849774,us,4.0,18.823529411764707,162.42857142857142,7.0,2.4285714285714284,0.0,0.0,1.0,0,2.0,0,4.0,4.0,6.0,10.0,0.0,4.0,4.0,1.0,17.0,6.0,45.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1307.5,Alpha
9,5269849774,them,0.0,15.571428571428571,66.88235294117646,17.0,0.4117647058823529,0.0,0.0,2.0,0,1.0,0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,7.0,2.0,72.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-925.0,Bravo
10,5269830286,us,6.0,14.5625,255.0,3.0,5.333333333333333,0.0,0.0,3.0,0,1.0,0,2.0,2.0,3.0,7.0,0.0,3.0,3.0,2.0,16.0,7.0,28.0,6.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1555.0,Alpha
11,5269830286,them,0.0,5.0,47.8125,16.0,0.1875,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1262.5,Bravo
12,5269815515,them,0.0,16.666666666666668,60.8,15.0,0.2,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200.0,Alpha
13,5269815515,us,5.0,23.2,304.0,3.0,5.0,0.0,0.0,1.0,0,1.0,0,4.0,4.0,5.0,7.0,0.0,5.0,5.0,1.0,15.0,5.0,24.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1387.5,Bravo
14,5269778482,us,11.0,19.956521739130434,82.04347826086956,23.0,1.0,1.0,2.0,0.0,0,2.0,0,4.0,4.0,6.0,10.0,0.0,6.0,6.0,3.0,23.0,5.0,62.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,2.0,0.0,7.0,7.0,592.5,Alpha
15,5269778482,them,2.0,13.08695652173913,82.04347826086956,23.0,1.0,1.0,0.0,5.0,0,1.0,0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,5.0,23.0,4.0,58.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,6.0,8.0,9.0,9.0,397.5,Bravo
16,5269743650,them,0.0,12.444444444444445,60.1875,16.0,0.5625,3.0,0.0,1.0,0,1.0,0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,9.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,-662.5,Alpha
17,5269743650,us,5.0,18.25,107.0,9.0,1.7777777777777777,2.0,0.0,0.0,0,2.0,0,3.0,3.0,6.0,8.0,0.0,4.0,4.0,1.0,16.0,3.0,60.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,1075.0,Bravo
18,5269725130,us,4.0,20.875,195.75,4.0,4.0,1.0,0.0,1.0,0,1.0,0,5.0,5.0,6.0,6.0,0.0,6.0,6.0,2.0,16.0,10.0,25.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1395.0,Alpha
19,5269725130,them,2.0,29.333333333333332,48.9375,16.0,0.1875,1.0,0.0,0.0,0,0.0,0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1202.5,Bravo
